============================================
Name :  Kor   Eng  Math   Sci    Sum     Avg
Lee  :   80,   90,   95,   90,   355,  88.75 
kim  :   85,   50,   50,   95,   280,  70.00 
Park :  100,   80,   95,   85,   360,  90.00 
Yoon :   80,   85,   90,   85,   340,  85.00 
Choi :   95,   95,  100,   95,   385,  96.25 
Hong :   75,   85,   85,   80,   325,  81.25 
Hwang:   95,   90,   90,   95,   370,  92.50 
Song :   85,   85,   85,   90,   345,  86.25 
Kang :   95,   75,   75,   80,   325,  81.25 
Jung :   95,  100,   95,   95,   385,  96.25 
============================================
